"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","Country of Domicile","Company Name"
"ABTZY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ABOITIZ EQTY VNT UNSP/ADR","Philippines","Aboitiz Equity Ventures, Inc."
"ABVC","OTC Link","05/02/2017","OTCQB","N","Common Stock","","AMERICAN BRIVISION HLDG","USA","American BriVision (Holding) Corporation"
"ABVG","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","AFFINITY BEVERAGE GROUP","USA","Affinity Beverage Group, Inc."
"ABVN","OTC Link","05/02/2017","OTCQB","N","Common Stock","","ABV CONSULTING INC","China","ABV Consulting Inc."
"ABWN","OTC Link","05/02/2017","OTCQB","N","Common Stock","","AIRBORNE WIRELESS NETWORK","USA","Airborne Wireless Network"
"ABYB","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","AMBOY BANCORPORATION","USA","Amboy Bancorporation"
"ABZPF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ABOITIZ POWER CORP","Philippines","Aboitiz Power Corp."
"ABZPY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ABOITIZ POWER UNSP/ADR","Philippines","Aboitiz Power Corp."
"ABZUF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ABZU GOLD LTD ORD NEW","Canada","Abzu Gold, Ltd."
"ACAN","OTC Link","05/02/2017","OTCQX U.S.","N","Common Stock","","AMERICANN INC","USA","Americann Inc."
"ACARD","OTC Link","05/02/2017","OTCQB","N","Common Stock","","ACTIVECARE INC NEW","USA","Activecare Inc."
"ACBC","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ALBINA COMMUNITY BNCRP","USA","Albina Community Bancorp"
"ACBFF","OTC Link","05/02/2017","OTCQB","N","Ordinary Shares","","AURORA CANNABIS INC ORD","Canada","Aurora Cannabis Inc."
"ACCA","OTC Link","05/02/2017","OTCQB","N","Common Stock","","ACACIA DIVERSIFIED HLDGS","USA","Acacia Diversified Holdings, Inc."
"ACCYY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ACCOR SA SPNS/ADR","France","Accor SA Ltd."
"ACDP","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","AMER COMMUNITY DEV INC","USA","American Community Development, Inc."
"ACDSF","OTC Link","05/02/2017","OTC Pink Current","N","Fund","","ASCENDAS RL EST INVT TR","Singapore","Ascendas Real Estate Investment Trust"
"ACDVF","OTC Link","05/02/2017","OTCQX International Premier","N","Ordinary Shares","","AIR CANADA INC VTG & VAR","Canada","Air Canada"
"ACEZ","OTC Link","05/02/2017","OTCQB","N","Common Stock","","ARIEL CLEAN ENERGY INC","USA","Ariel Clean Energy, Inc."
"ACFL","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","AMC FINANCIAL HLDGS INC","USA","AMC Financial Holdings, Inc."
"ACFN","OTC Link","05/02/2017","OTCQB","N","Common Stock","","ACORN ENERGY INC","USA","Acorn Energy, Inc."
"ACGBF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","AGRICULTURAL BANK OF CHIN","China","Agricultural Bank of China"
