"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","Country of Domicile","Company Name"
"GUKYF","OTC Link","05/02/2017","OTCQX International","N","Ordinary Shares","","GULF KEYSTONE PET ORD NEW","Bermuda","Gulf Keystone Petroleum Ltd."
"GULD","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","GOLD HILL RESOURCES INC","Canada","Gold Hill Resources, Inc."
"GULRF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","GUOCO GROUP","Hong Kong","Guoco Group Ltd."
"GULRY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","GUOCO GROUP LTD UNSP/ADR","Hong Kong","Guoco Group Ltd."
"GULTU","OTC Link","05/02/2017","OTC Pink Current","N","Other Security Type","","GULF COAST ULTRA D/R UNIT","USA","Gulf Coast Ultra Deep Royalty Trust"
"GUORY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","GL LTD UNSP/ADR","Singapore","GL LTD"
"GUYFF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","GUYANA GOLDFIELDS INC NEW","Canada","Guyana Goldfields Inc."
"GUZBY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","GRUPO HERDEZ S.A.B ADR","Mexico","Grupo Herdez, S.A.B. DE C.V."
"GVBT","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","GREEN VISION BIOTECH","USA","Green Vision Biotechnology Corp."
"GVCL","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","GVCL VENTURES INC","USA","GVCL Ventures, Inc."
"GVCM","OTC Link","05/02/2017","OTC Pink No Information","Y","Common Stock","","GEOVIC MINING CORP","USA","Geovic Mining Corp."
"GVDBF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","GIVAUDAN AG","Switzerland","Givaudan SA"
"GVDI","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","GOLDEN VALLEY DEVELOPMENT","USA","Golden Valley Development, Inc."
"GVDNY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","GIVAUDAN SA UNSP/ADR","Switzerland","Givaudan SA"
"GVFF","OTC Link/BB","05/02/2017","OTC Pink Current","N","Common Stock","","GREENVILLE FEDERAL FINCL","USA","Greenville Federal Financial Corp."
"GVHIB","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","B","GLOBAL VISION HLDGS INC B","USA","Global Vision Holdings, Inc."
"GVLGF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","GRENVILLE GOLD CP NEW","Canada","Grenville Gold Corp."
"GVSI","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","GOOD VIBRATIONS SHOES INC","USA","Good Vibrations Shoes Inc."
"GVXNF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","GUERRERO VENTURES INC","Canada","Guerrero Ventures, Inc."
"GVXXF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","GOVIEX URANIUM CL A ORD","Canada","Goviex Uranium Inc"
"GVYB","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","GOLDEN VALLEY BK CHICO CA","USA","Golden Valley Bank (Chico, CA)"
"GWAXY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","GWA GROUP LTD ADR","Australia","GWA Group Ltd."
"GWBU","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","GREAT WALL BUILDERS  LTD","Italy","Great Wall Builders Ltd."
"GWDCQ","OTC Link","05/02/2017","OTC Pink No Information","Y","Common Stock","","GROWERS DIRECT COFFEE INC","USA","Growers Direct Coffee Co., Inc."
"GWECY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","GLOW ENERGY PCL","Thailand","Glow Energy Public Co., Ltd."
"GWEFF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","GLOW ENERGY PCL FGN REG","Thailand","Glow Energy Public Co., Ltd."
"GWIN","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","GLORYWIN ENTMT GROUP INC","China","Glorywin Entertainment Group, Inc."
"GWIO","OTC Link","05/02/2017","OTC Pink No Information","Y","Common Stock","","GREAT WESTERN IRON ORE PP","USA","Great Western Iron Ore Properties, Inc."
"GWLIF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","GREAT WEST LIFECO CDA","Canada","Great-West Lifeco, Inc."
"GWLLF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","GREAT WALL MOTOR CO LTD H","China","Great Wall Motor Company, Ltd."
"GWLLY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","GREAT WALL MOTOR CO ADR","China","Great Wall Motor Company, Ltd."
"GWMGF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","GREAT WSTN MINRLS GRP LTD","Canada","Great Western Minerals Group Ltd."
"GWOX","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","GOODHEART-WILLCOX CO INC","USA","Goodheart-Willcox Co. (THE), Inc."
"GWPRF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","GW PHARMS PLC","United Kingdom","GW Pharmaceuticals Plc."
"GWSO","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","GLOBAL WARMING SLTNS INC","Canada","Global Warming Solutions, Inc."
"GWSVP","OTC Link","05/02/2017","OTC Pink No Information","N","Preferred Stock","","GLACIER WATER TR9.0625%PR","USA","Glacier Water Trust I"
"GWTNF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","GRANDE WEST TRANS GRP ORD","","Grande West Transn Group Inc."
"GWTR","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","GLOBAL WATER TECHS INC","USA","Global Water Technologies, Inc."
"GWYI","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","GOLDENWAY INC","Hong Kong","Goldenway, Inc."
"GWYT","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","GREENWAY TECHNOLOGY","USA","Greenway Technology"
"GXOCF","OTC Link","05/02/2017","OTCQX International","N","Ordinary Shares","","GRANITE OIL CORP","Canada","Granite Oil Corp"
"GXSBF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","GEOX SPA BIADENE MNTBLLNA","Italy","Geox Spa Biadene di Montebelluna Tv"
"GXSBY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","GEOX SPA UNSP/ADR","Italy","Geox Spa Biadene di Montebelluna Tv"
"GXYEF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","GALAXY ENTMNT GROUP ORD","China","Galaxy Entertainment Group, Ltd."
"GYOG","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","GREEN ENE ENTERPRISES INC","USA","Green Energy Enterprises, Inc."
"GYPHQ","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","GRYPHON GOLD CORP","USA","Gryphon Gold Corp."
"GYSLF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ECO ORO MINERALS CORP","Canada","Eco Oro Minerals Corp"
"GYSN","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","GREYSON INTERNATIONAL INC","USA","Greyson International, Inc."
"GYST","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","GRAYSTONE CO INC A","USA","The Graystone Company, Inc."
"GYTI","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","GYROTRON TECHNOLOGY INC","USA","Gyrotron Technology Inc"
"GZDIF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","GRIZZLY DISCOVERIES INC","Canada","Grizzly Discoveries Inc."
"GZPFY","OTC Link","05/02/2017","OTCQX International Premier","N","American Depository Receipts","","GAZPROM NEFT PJSC  S/ADR","Russia","Gazprom Neft PJSC"
"GZPHF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","GUANGZHOU PHARM CO ORD","China","Guangzhou Baiyunshan Pharmaceuticals Holdings Company Ltd."
"GZPHY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","GUANGZHOU BAIYUN SPNS/ADR","China","Guangzhou Baiyunshan Pharmaceuticals Holdings Company Ltd."
"GZUHY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","GUANGZHOU R&F PPT UNS/ADR","China","Guangzhou R&F Properties Co. Ltd."
"HABC","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HABERSHAM BANCORP","USA","Habersham Bancorp, Inc."
"HACBY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HACHIJUNI BK LTD UNSP/ADR","Japan","Hachijuni Bank Ltd. (THE)"
"HADV","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HEALTH ADVANCE INC","USA","Health Advance Inc"
"HAGE","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HERITAGE PRINT TECH CP","USA","Heritage Printing Technology Corp."
"HAGN","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HAHA GENERATION CORP","","Haha Generation Corp."
"HAHI","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HELP AT HOME INC","USA","Help At Home, Inc."
"HAIPF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","HADERA PAPER LTD","Israel","Hadera Paper Ltd."
"HAITY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HAITONG SECS CO UNSP/ADR","China","Haitong Securities Co Ltd."
"HALB","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HALBERD CORP","USA","Halberd Corp."
"HALN","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HALO COMPANIES INC","USA","Halo Companies, Inc."
"HAMPQ","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","HAMPSHIRE GROUP LTD","USA","Hampshire Group, Ltd."
"HAMT","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HAMMETT (J.L.) CO","USA","Hammett (J. L.) Co."
"HAON","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HALITRON INC","USA","Halitron, Inc."
"HARI","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HARVARD ILLINOIS BANCORP","USA","Harvard Illinois Bancorp Inc"
"HARL","OTC Link","05/02/2017","OTCQX U.S. Premier","N","Common Stock","","HARLEYSVILLE SAVINGS FINL","USA","Harleysville Savings Financial Corp."
"HAUP","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HAUPPAUGE DIGITAL INC","USA","Hauppauge Digital, Inc."
"HAVSF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","HAVAS ORD","France","Havas"
"HAWEL","OTC Link","05/02/2017","OTC Pink Current","N","Preferred Stock","","HAWAIIAN ELEC 5 E PR","USA","Hawaiian Electric Co., Inc."
"HAWEM","OTC Link","05/02/2017","OTC Pink Current","N","Preferred Stock","","HAWAIIAN ELEC 5 D PR","USA","Hawaiian Electric Co., Inc."
"HAWEN","OTC Link","05/02/2017","OTC Pink Current","N","Preferred Stock","","HAWAIIAN ELEC 41/4 C PR","USA","Hawaiian Electric Co., Inc."
"HAWLI","OTC Link","05/02/2017","OTC Pink Current","N","Preferred Stock","J","HAWAIIAN ELEC 4.75 J PR","USA","Hawaiian Electric Co., Inc."
"HAWLL","OTC Link","05/02/2017","OTC Pink Current","N","Preferred Stock","","HAWAIIAN ELEC 4.65 K PR","USA","Hawaiian Electric Co., Inc."
"HAWLM","OTC Link","05/02/2017","OTC Pink Current","N","Preferred Stock","","HAWAIIAN ELEC 5.25 H PR","USA","Hawaiian Electric Co., Inc."
"HAWLN","OTC Link","05/02/2017","OTC Pink Current","N","Preferred Stock","","HAWAIIAN ELEC 5 I PR","USA","Hawaiian Electric Co., Inc."
"HAWPF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","HAW PAR CORP LTD SG1 ORD","Singapore","Haw Par Corp. Ltd."
"HAWPY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HAW PAR CORP LTD UNSP/ADR","Singapore","Haw Par Corp. Ltd."
"HAYPY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HAYS PLC UNSP/ADR","United Kingdom","Hays PLC"
"HAZH","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HAZ HOLDINGS INC","USA","Haz Holdings, Inc."
"HBCYF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","HSBC HLDGS PLC .50","United Kingdom","HSBC Holdings Plc"
"HBGRY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HEIDELBERGER DRK UNSP/ADR","Germany","Heidelberger Druckmaschinen AG"
"HBIA","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HILLS BANCORP OF IOWA","USA","Hills Bancorporation"
"HBIN","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HBANCORPORATION INC","USA","HBancorporation Inc."
"HBMK","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HUBEI MINKANG PHARM LTD","Singapore","Hubei Minkang Pharmaceutical Ltd"
"HBPE","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HBP ENERGY CORP","USA","HBP Energy Corp."
"HBRK","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HEDGEBROOK","USA","Hedgebrook"
"HBRM","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HERBORIUM GROUP INC","USA","Herborium Group, Inc."
"HBSI","OTC Link","05/02/2017","OTCQB","N","Common Stock","","HIGHLANDS BANKSHARES INC","USA","Highlands Bankshares, Inc."
"HBTC","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HARBOURTON CAP GROUP INC","USA","Harbourton Capital Group, Inc."
"HBTPF","OTC Link","05/02/2017","OTC Pink Current","N","Fund","","BETAPRO CRUDE OIL ETF UNT","Canada","BetaPro Crude Oil -2x Daily Bear ETF"
"HBUV","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HUBILU VENTURE CORP","USA","Hubilu Venture Corporation"
"HCBC","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HIGH COUNTRY BANCORP INC","USA","High Country Bancorp, Inc."
"HCBN","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HCB FINCL CORP","USA","H.C.B. Financial Corp."
"HCBP","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HARVEST COMMUNITY BK (NJ)","USA","Harvest Community Bank (Pennsville, NJ)"
"HCCA","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HEALTHCARE CORP AMER","USA","Healthcare Corporation of America"
"HCCC","OTC Link","05/02/2017","OTCQB","N","Common Stock","","H CELL ENERGY CORP","USA","H/Cell Energy Corp"
"HCEI","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HEALTHY COFFEE INTL INC","USA","Healthy Coffee International, Inc."
"HCFB","OTC Link","05/02/2017","OTCQB","N","Common Stock","","HCSB FINCL CORP","USA","HCSB Financial Corp."
"HCFL","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HOME CITY FINCL CORP","USA","Home City Financial Corp."
"HCGI","OTC Link","05/02/2017","OTCQB","N","Common Stock","","HUNTWICKE CAPITAL GROUP","USA","Huntwicke Capital Group Inc."
"HCHDF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","HOCHSCHILD MNG PLC ORD","United Kingdom","Hochschild Mining PLC"
"HCHMY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HITACHI CHEMICAL UNSP/ADR","Japan","Hitachi Chemical Co., Ltd."
"HCIIP","OTC Link","05/02/2017","OTC Pink Current","N","Preferred Stock","","HCI GROUP INC 7%  PFD","USA","HCI Group, Inc."
"HCKG","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HOCKING VALLEY BNCSHS INC","USA","Hocking Valley Bancshares, Inc. (OH)"
"HCLC","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HEALTH-CHEM CORP","USA","Health-Chem Corp."
"HCMLF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","LAFARGEHOLCIM LTD","Switzerland","LAFARGEHOLCIM LTD"
"HCMLY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","LAFARGEHOLCIM UNSP/ADR","Switzerland","LAFARGEHOLCIM LTD"
"HCRE","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HEMCARE HEALTH SRVCS INC","USA","Hemcare Health Services Inc."
"HCTI","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HYBRID COATING TECH INC","USA","Hybrid Coating Technologies, Inc."
"HCTPF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","HUTCHISON PORT HLDGS TR","Singapore","Hutchison Port Holdings Trust"
"HDELY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HEIDELBERGCEMENT UNSP/ADR","Germany","HeidelbergCement AG"
"HDII","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HYPERTENSION DIAGNSTCS","USA","Hypertension Diagnostics, Inc."
"HDUP","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","HEADSUP ENTMT INTL INC","USA","HeadsUp Entertainment International, Inc."
"HDVTY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HENDERSON INVTS LTD S/ADR","China","Henderson Investment Ltd."
"HDVW","OTC Link","05/02/2017","OTCQB","N","Common Stock","","HD VIEW 360 INC","USA","HD View 360, Inc."
"HDVY","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HEALTH DISCOVERY CORP","USA","Health Discovery Corp."
"HDYN","OTC Link","05/02/2017","OTCQX U.S.","N","Common Stock","","HYPERDYNAMICS CORP","USA","HyperDynamics Corp."
"HECCQ","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HYDROCARB ENERGY CORP","USA","Hydrocarb Energy Corporation"
"HEGIF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","HENGAN INTL GROUP CO ORD","China","Hengan International Group Co., Ltd."
"HEGIY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HENGAN INTL GRP UNSP/ADR","China","Hengan International Group Co., Ltd."
"HEGLF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","HILL END GOLD LTD ORD","Australia","Hill End Gold, Ltd."
"HEHSF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","HELLENIC EXCH SA REG SHS","Greece","Hellenic Stock Exchanges"
"HEINY","OTC Link","05/02/2017","OTCQX International Premier","N","American Depository Receipts","","HEINEKEN N V S/ADR","The Netherlands","Heineken N.V."
"HELIQ","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","CHC GROUP LTD","Cayman Islands","CHC Group Ltd."
"HEMA","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HEMACARE CORP","USA","HemaCare Corp."
"HEME","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HEALTHMED SVCS LTD","USA","Healthmed Services Ltd."
"HEMP","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HEMP INC","USA","Hemp, Inc."
"HENC","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HOLLOMAN ENERGY CORP","USA","Holloman Energy Corp."
"HENGY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HENGDELI HLDGS UNSP/ADR","Hong Kong","Hengdeli Holdings Ltd"
"HENI","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HINTO ENERGY INC","USA","Hinto Energy, Inc."
"HENKY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HENKEL AG & CO KGAA S/ADR","Germany","Henkel AG & Co. KGAA"
"HENOY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HENKEL AG & CO KGAA PFD","Germany","Henkel AG & Co. KGAA"
"HEOFF","OTC Link","05/02/2017","OTCQX International","N","Ordinary Shares","","H2O INNOVATION INC","Canada","H2O Innovation Inc."
"HEPZF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","HRZONS GLD UNIT CL E NEW","Canada","Horizons Enhanced Income Gold Producers ETF"
"HERB","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","YASHENG GROUP","USA","YaSheng Group"
"HERC","OTC Link","05/02/2017","OTC Pink No Information","Y","Common Stock","","H.E.R.C. PRODUCTS INC","USA","H.E.R.C. Products Inc."
"HESAF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","HERMES INTL SA","France","Hermes International SA"
"HESAY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HERMES INTL SA UNSP/ADR","France","Hermes International SA"
"HESG","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HEALTH SCIENCES GROUP INC","USA","Health Sciences Group, Inc."
"HEVI","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HEAVY EARTH RESOURCES INC","USA","Heavy Earth Resources, Inc."
"HEWA","OTC Link","05/02/2017","OTCQB","N","Common Stock","","HEALTHWAREHOUSE.COM","USA","HealthWarehouse.com, Inc."
"HEXEY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HELLENIC EXCH UNSP/ADR","Greece","Hellenic Exchanges SA"
"HFBA","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HFB FINANCIAL CORP","USA","HFB Financial Corp."
"HFBG","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HALL OF FAME BEV INC","USA","Hall of Fame Beverages, Inc."
"HFBK","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HARFORD BK ABERDEEN MD","USA","Harford Bank of Aberdeen"
"HFCO","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HYDROGEN FUTURE CORP","USA","Hydrogen Future Corp."
"HGBL","OTC Link","05/02/2017","OTCQB","N","Common Stock","","HERITAGE GLOBAL INC","USA","Heritage Global Inc."
"HGHN","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","TEC TECHNOLOGY INC","China","TEC Technology, Inc."
"HGII","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","A","LANSDOWNE SECURITY INC","Canada","Lansdowne Security, Inc."
"HGKGY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","POWER ASSETS HLDGS S/ADR","China","Power Assets Holdings Ltd."
"HGPI","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HORIZON GROUP PPTYS INC","USA","Horizon Group Properties, Inc."
"HGUBP","OTC Link","05/02/2017","OTC Pink Current","N","Preferred Stock","","HIGHLANDS CAP TR PR C/SHS","USA","Highlands Capital Trust"
"HHBT","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HH BIOTECHNOLOGY HOLDINGS","China","HH Biotechnology Holdings Company"
"HHCSY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HEALTHSCOPE LTD UNSP/ADR","Australia","Healthscope Ltd."
"HHGI","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HAWAIIAN HOSPITALITY GRP","USA","Hawaiian Hospitality Group, Inc."
"HHHEF","OTC Link","05/02/2017","OTCQB","N","Ordinary Shares","","37 CAPITAL INC ORD","Canada","37 Capital, Inc."
"HHILY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HOPEWELL HWY INFSTR S/ADR","Hong Kong","Hopewell Highway Infrastructure Ltd."
"HHSE","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HANNOVER HOUSE INC","USA","Hannover House, Inc."
"HHULY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HAMBURGER HAFEN UNSP/ADR","Germany","Hamburger Hafen Und Logistik Ag"
"HHWW","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HW HOLDINGS INC","USA","HW Holdings, Inc."
"HIBE","OTC Link/BB","05/02/2017","OTC Pink Current","N","Common Stock","","HIBERNIA BANCORP INC","USA","Hibernia Bancorp, Inc."
"HIBRF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","HIBERNIA REIT PLC ORD","Ireland","Hibernia REIT PLC"
"HICKA","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","A","HICKOK INC A","USA","Hickok Inc."
"HIGR","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HI-GREAT GROUP HLDG CO","China","Hi-Great Group Holding Co."
"HIHI","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HOLIDAY ISLAND HLDGS NEW","USA","Holiday Island Holdings, Inc."
"HIIDY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HIDILI INDS I/D UNSP/ADR","China","Hidili Industry International Development Ltd."
"HIMR","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HOLLUND INDL MARINE","USA","Hollund Industrial Marine, Inc."
"HINKF","OTC Link","05/02/2017","OTCQX International Premier","N","Ordinary Shares","","HEINEKEN N V REG","The Netherlands","Heineken N.V."
"HINOY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HINO MOTORS LTD ADR","Japan","Hino Motors Ltd."
"HIPC","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HIP CUISINE INC","USA","Hip Cuisine, Inc."
"HIPEF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","HIBISCUS PETROLEUM ORD","Malaysia","Hibiscus Petroleum Bhd"
"HIPH","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","AMERICAN PRM WATER CP","USA","American Premium Water Corporation"
"HIRU","OTC Link","05/02/2017","OTC Pink Current","Y","Common Stock","","HIRU CORP","USA","Hiru Corp."
"HISP","OTC Link","05/02/2017","OTCQB","N","Common Stock","","HISPANICA INTL DELIGHTS","USA","Hispanica International Delights of America, Inc."
"HITD","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HOUSTON INTERWEB DESIGN","USA","Houston InterWeb Design, Inc."
"HIUH","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HERO INTL USA HLDG  CORP","USA","Hero International USA Holding Corp."
"HKBT","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HK BATTERY TECH INC","USA","HK Battery Technology Inc."
"HKEB","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","HK EBUS CORPORATION","USA","HK eBus Corporation"
"HKFIQ","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","HANCOCK FABRICS INC","USA","Hancock Fabrics, Inc."
"HKGT","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","HK GRAPHENE TECH CORP","USA","HK Graphene Technology Corp."
"HKHGF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","HONGKONG LAND HLDGS ORD","Hong Kong","Hongkong Land Holdings Ltd."
"HKHHF","OTC Link","05/02/2017","OTCQX International Premier","N","Ordinary Shares","","HEINEKEN HOLDING NV ORD","The Netherlands","Heineken Holding N.V."
"HKHHY","OTC Link","05/02/2017","OTCQX International Premier","N","American Depository Receipts","","HEINEKEN HOLDING NV S/ADR","The Netherlands","Heineken Holding N.V."
"HKKIY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HITACHI KOKI CO LTD ADR","Japan","Hitachi Koki Co. Ltd."
"HKMPY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","HIKMA PHARMS PLC S/ADR","United Kingdom","Hikma Pharmaceuticals plc."
